"";"Estimate";"Std_Error";"t_value";"P_Value";"significancia";"agg";"Y_var";"table";"heterogenities"
"228";1,54716155356149;0,905655030701961;1,70833430071305;0,0882050662382215;"";"ATT";"TOTPRE";"base_50p";"FALSE"
"229";0,351350509942514;1,22028799658913;0,287924253065331;0,773525965988891;"";"ATT";"TOTPRE";"base_ic";"FALSE"
"230";-0,434479642684359;0,645749462988091;-0,672830048783752;0,501373893308701;"";"ATT";"TOTPRE";"base_ent";"FALSE"
"231";-1,08622096953499;1,22769663357511;-0,884763336339746;0,377654709789822;"";"ATT";"TOTPRE";"base_ai";"PRIV"
"232";1,3050505137228;1,38735362088618;0,940676186716685;0,347554742450672;"";"ATT";"TOTPRE";"base_ai";"PUBL"
"233";2,34855577226199;1,17700295550006;1,99536947744043;0,0477437116174912;".";"ATT";"TOTPRE";"base_10p";"PRIV"
"234";5,917379153454;1,60232444420621;3,69299686767587;0,000258925261435047;"***";"ATT";"TOTPRE";"base_10p";"PUBL"
"235";2,30224458840631;0,997944688136951;2,30698616443797;0,0223708184531134;"*";"ATT";"TOTPRE";"base_50p";"PRIV"
"236";1,02659024693765;1,2111776819529;0,847596733521688;0,397267746525556;"";"ATT";"TOTPRE";"base_50p";"PUBL"
"237";0,201218185523777;1,41667283386591;0,142035747925426;0,88723503896035;"";"ATT";"TOTPRE";"base_ic";"PRIV"
"238";0,721802043108925;1,44957822916664;0,497939351313165;0,618853502534098;"";"ATT";"TOTPRE";"base_ic";"PUBL"
"239";0,707263121066456;0,84095654322258;0,841022198788292;0,401622780087326;"";"ATT";"TOTPRE";"base_ent";"PRIV"
"240";-0,883985099995682;0,869060867117025;-1,0171728280991;0,309814124587324;"";"ATT";"TOTPRE";"base_ent";"PUBL"
"241";0,800170148953885;3,0473459804264;0,262579357281224;0,792985624726527;"";"ATT";"TOTPROF";"base_ai";"FALSE"
"242";0,740706315753184;2,92527902790788;0,253208773825219;0,800213083891237;"";"ATT";"TOTPROF";"base_10p";"FALSE"
"243";1,41807390817852;1,19262772241362;1,18903315890448;0,235000167038769;"";"ATT";"TOTPROF";"base_50p";"FALSE"
"244";-2,05327515551521;3,49982535585933;-0,586679318748767;0,557688184159302;"";"ATT";"TOTPROF";"base_ic";"FALSE"
"245";-0,415825211150466;0,635543867201336;-0,654282469881399;0,513238058052789;"";"ATT";"TOTPROF";"base_ent";"FALSE"
"246";-0,52806882588789;2,43905072048049;-0,216505881347093;0,828878129013916;"";"ATT";"TOTPROF";"base_ai";"PRIV"
"247";-0,00795915104507812;3,50364260171691;-0,00227167892101148;0,998188828371074;"";"ATT";"TOTPROF";"base_ai";"PUBL"
"248";-2,67489916753295;2,00642938598359;-1,33316387121277;0,184421630233198;"";"ATT";"TOTPROF";"base_10p";"PRIV"
"249";-4,26339908987926;3,1480686752763;-1,35429036963594;0,176562010787359;"";"ATT";"TOTPROF";"base_10p";"PUBL"
"250";1,8921386780135;1,22647523946591;1,54274510982991;0,124918736815259;"";"ATT";"TOTPROF";"base_50p";"PRIV"
"251";1,3828476787385;1,54409592693651;0,895571094136664;0,371124922789849;"";"ATT";"TOTPROF";"base_50p";"PUBL"
